# arm|json
trtexec_yolov8n|{"cap_qps":1490.79}
D_cap_s2|{"pipeline":"cpp_grpc_async_dyn","model":"yolov8s_dyn","streams":2,"frames":11307,"detections":21194,"fps":1130.70,"lat_ms_p50":11.248,"lat_ms_p95":13.461,"lat_ms_p99":14.245}
D_cap_s2|{"pipeline":"cpp_grpc_async_dyn","model":"yolov8s_dyn","streams":2,"frames":11270,"detections":21120,"fps":1127.00,"lat_ms_p50":11.180,"lat_ms_p95":13.495,"lat_ms_p99":14.168}
D_cap_s2|{"pipeline":"cpp_grpc_async_dyn","model":"yolov8s_dyn","streams":2,"frames":11294,"detections":21165,"fps":1129.40,"lat_ms_p50":11.215,"lat_ms_p95":13.478,"lat_ms_p99":14.302}
A2_cap_s4|{"pipeline":"cpp_trt_cuda","mode":"file","streams":4,"frames":11679,"detections":21898,"fps":1167.9,"lat_ms_p50":3.42193,"lat_ms_p95":3.83816,"lat_ms_p99":4.01301,"stages_ms":{"decode":0,"preprocess":0,"h2d":0.326423,"infer_incl_compact":2.78784,"nms_cpu":0.310942}}
A2_cap_s4|{"pipeline":"cpp_trt_cuda","mode":"file","streams":4,"frames":11685,"detections":21910,"fps":1168.5,"lat_ms_p50":3.42159,"lat_ms_p95":3.84009,"lat_ms_p99":3.98467,"stages_ms":{"decode":0,"preprocess":0,"h2d":0.32399,"infer_incl_compact":2.78538,"nms_cpu":0.314224}}
A2_cap_s4|{"pipeline":"cpp_trt_cuda","mode":"file","streams":4,"frames":11675,"detections":21890,"fps":1167.5,"lat_ms_p50":3.42252,"lat_ms_p95":3.85298,"lat_ms_p99":4.03592,"stages_ms":{"decode":0,"preprocess":0,"h2d":0.326133,"infer_incl_compact":2.7893,"nms_cpu":0.311056}}
B2_cap_s4|{"pipeline":"cpp_grpc_cuda_shm","mode":"file","model":"yolov8s","streams":4,"frames":10896,"detections":20432,"fps":1089.60,"lat_ms_p50":4.040,"lat_ms_p95":4.354,"lat_ms_p99":4.572,"stages_ms":{"grpc_infer":2.288,"post_compact":1.064,"nms_cpu":0.000}}
B2_cap_s4|{"pipeline":"cpp_grpc_cuda_shm","mode":"file","model":"yolov8s","streams":4,"frames":10913,"detections":20463,"fps":1091.30,"lat_ms_p50":4.039,"lat_ms_p95":4.353,"lat_ms_p99":4.564,"stages_ms":{"grpc_infer":2.275,"post_compact":1.070,"nms_cpu":0.000}}
B2_cap_s4|{"pipeline":"cpp_grpc_cuda_shm","mode":"file","model":"yolov8s","streams":4,"frames":10893,"detections":20426,"fps":1089.30,"lat_ms_p50":4.040,"lat_ms_p95":4.353,"lat_ms_p99":4.573,"stages_ms":{"grpc_infer":2.285,"post_compact":1.068,"nms_cpu":0.000}}
C2_cap_s4|{"pipeline": "python_numpy", "mode": "file", "transfer": "sys", "streams": 4, "processes": 4, "frames": 10050, "detections": 18844, "fps": 1005.0, "per_stream_fps": [251.1, 251.3, 251.3, 251.2], "lat_ms_p50": 3.09, "lat_ms_p95": 3.69, "stages_ms": {"decode_pipe": 0.0, "preprocess_np": 0.0, "infer_grpc": 3.09}}
C2_cap_s4|{"pipeline": "python_numpy", "mode": "file", "transfer": "sys", "streams": 4, "processes": 4, "frames": 9870, "detections": 18504, "fps": 987.0, "per_stream_fps": [246.7, 246.6, 246.8, 246.7], "lat_ms_p50": 3.15, "lat_ms_p95": 3.78, "stages_ms": {"decode_pipe": 0.0, "preprocess_np": 0.0, "infer_grpc": 3.15}}
C2_cap_s4|{"pipeline": "python_numpy", "mode": "file", "transfer": "sys", "streams": 4, "processes": 4, "frames": 10002, "detections": 18752, "fps": 1000.2, "per_stream_fps": [250.2, 250.0, 249.9, 249.9], "lat_ms_p50": 3.12, "lat_ms_p95": 3.7, "stages_ms": {"decode_pipe": 0.0, "preprocess_np": 0.0, "infer_grpc": 3.12}}
D_cap_s4|{"pipeline":"cpp_grpc_async_dyn","model":"yolov8s_dyn","streams":4,"frames":12684,"detections":23759,"fps":1268.40,"lat_ms_p50":20.954,"lat_ms_p95":26.046,"lat_ms_p99":28.221}
D_cap_s4|{"pipeline":"cpp_grpc_async_dyn","model":"yolov8s_dyn","streams":4,"frames":12762,"detections":23811,"fps":1276.20,"lat_ms_p50":20.877,"lat_ms_p95":26.066,"lat_ms_p99":28.053}
D_cap_s4|{"pipeline":"cpp_grpc_async_dyn","model":"yolov8s_dyn","streams":4,"frames":12897,"detections":24063,"fps":1289.70,"lat_ms_p50":20.652,"lat_ms_p95":26.032,"lat_ms_p99":28.185}
A2_cap_s8|{"pipeline":"cpp_trt_cuda","mode":"file","streams":8,"frames":11786,"detections":22098,"fps":1178.6,"lat_ms_p50":6.76689,"lat_ms_p95":7.84956,"lat_ms_p99":8.35382,"stages_ms":{"decode":0,"preprocess":0,"h2d":0.330464,"infer_incl_compact":5.6983,"nms_cpu":0.759955}}
A2_cap_s8|{"pipeline":"cpp_trt_cuda","mode":"file","streams":8,"frames":11781,"detections":22089,"fps":1178.1,"lat_ms_p50":6.77376,"lat_ms_p95":7.87826,"lat_ms_p99":8.37653,"stages_ms":{"decode":0,"preprocess":0,"h2d":0.330823,"infer_incl_compact":5.69,"nms_cpu":0.771468}}
A2_cap_s8|{"pipeline":"cpp_trt_cuda","mode":"file","streams":8,"frames":11757,"detections":22048,"fps":1175.7,"lat_ms_p50":6.78569,"lat_ms_p95":7.88415,"lat_ms_p99":8.3839,"stages_ms":{"decode":0,"preprocess":0,"h2d":0.331278,"infer_incl_compact":5.7033,"nms_cpu":0.77067}}
B2_cap_s8|{"pipeline":"cpp_grpc_cuda_shm","mode":"file","model":"yolov8s","streams":8,"frames":11073,"detections":20765,"fps":1107.30,"lat_ms_p50":6.628,"lat_ms_p95":8.708,"lat_ms_p99":8.938,"stages_ms":{"grpc_infer":5.682,"post_compact":1.214,"nms_cpu":0.000}}
B2_cap_s8|{"pipeline":"cpp_grpc_cuda_shm","mode":"file","model":"yolov8s","streams":8,"frames":11088,"detections":20794,"fps":1108.80,"lat_ms_p50":6.625,"lat_ms_p95":8.698,"lat_ms_p99":8.927,"stages_ms":{"grpc_infer":5.669,"post_compact":1.215,"nms_cpu":0.000}}
B2_cap_s8|{"pipeline":"cpp_grpc_cuda_shm","mode":"file","model":"yolov8s","streams":8,"frames":11106,"detections":20828,"fps":1110.60,"lat_ms_p50":6.624,"lat_ms_p95":8.695,"lat_ms_p99":8.929,"stages_ms":{"grpc_infer":5.657,"post_compact":1.216,"nms_cpu":0.000}}
C2_cap_s8|{"pipeline": "python_numpy", "mode": "file", "transfer": "sys", "streams": 8, "processes": 8, "frames": 10331, "detections": 19374, "fps": 1033.1, "per_stream_fps": [129.1, 129.1, 129.2, 129.0, 128.9, 129.2, 129.0, 129.2], "lat_ms_p50": 6.89, "lat_ms_p95": 7.55, "stages_ms": {"decode_pipe": 0.0, "preprocess_np": 0.0, "infer_grpc": 6.89}}
C2_cap_s8|{"pipeline": "python_numpy", "mode": "file", "transfer": "sys", "streams": 8, "processes": 8, "frames": 10513, "detections": 19707, "fps": 1051.3, "per_stream_fps": [131.4, 131.4, 131.4, 131.3, 131.4, 131.3, 131.3, 131.4], "lat_ms_p50": 6.76, "lat_ms_p95": 7.4, "stages_ms": {"decode_pipe": 0.0, "preprocess_np": 0.0, "infer_grpc": 6.76}}
C2_cap_s8|{"pipeline": "python_numpy", "mode": "file", "transfer": "sys", "streams": 8, "processes": 8, "frames": 10471, "detections": 19638, "fps": 1047.1, "per_stream_fps": [130.9, 130.8, 130.8, 130.9, 130.8, 130.9, 130.9, 130.9], "lat_ms_p50": 6.82, "lat_ms_p95": 7.36, "stages_ms": {"decode_pipe": 0.0, "preprocess_np": 0.0, "infer_grpc": 6.82}}
D_cap_s8|{"pipeline":"cpp_grpc_async_dyn","model":"yolov8s_dyn","streams":8,"frames":16357,"detections":30730,"fps":1635.70,"lat_ms_p50":36.796,"lat_ms_p95":38.621,"lat_ms_p99":39.510}
D_cap_s8|{"pipeline":"cpp_grpc_async_dyn","model":"yolov8s_dyn","streams":8,"frames":16172,"detections":30227,"fps":1617.20,"lat_ms_p50":37.074,"lat_ms_p95":39.187,"lat_ms_p99":41.205}
D_cap_s8|{"pipeline":"cpp_grpc_async_dyn","model":"yolov8s_dyn","streams":8,"frames":16077,"detections":30213,"fps":1607.70,"lat_ms_p50":36.912,"lat_ms_p95":39.949,"lat_ms_p99":46.360}
A2_cap_s16|{"pipeline":"cpp_trt_cuda","mode":"file","streams":16,"frames":11538,"detections":21631,"fps":1153.8,"lat_ms_p50":13.8634,"lat_ms_p95":16.4625,"lat_ms_p99":17.3176,"stages_ms":{"decode":0,"preprocess":0,"h2d":0.339663,"infer_incl_compact":11.1514,"nms_cpu":2.38584}}
A2_cap_s16|{"pipeline":"cpp_trt_cuda","mode":"file","streams":16,"frames":11507,"detections":21577,"fps":1150.7,"lat_ms_p50":13.9082,"lat_ms_p95":16.543,"lat_ms_p99":17.3473,"stages_ms":{"decode":0,"preprocess":0,"h2d":0.344919,"infer_incl_compact":11.1667,"nms_cpu":2.39637}}
A2_cap_s16|{"pipeline":"cpp_trt_cuda","mode":"file","streams":16,"frames":11540,"detections":21634,"fps":1154,"lat_ms_p50":13.866,"lat_ms_p95":16.5123,"lat_ms_p99":17.3138,"stages_ms":{"decode":0,"preprocess":0,"h2d":0.338541,"infer_incl_compact":11.1528,"nms_cpu":2.37878}}
B2_cap_s16|{"pipeline":"cpp_grpc_cuda_shm","mode":"file","model":"yolov8s","streams":16,"frames":11139,"detections":20891,"fps":1113.90,"lat_ms_p50":13.548,"lat_ms_p95":15.695,"lat_ms_p99":15.881,"stages_ms":{"grpc_infer":12.824,"post_compact":1.206,"nms_cpu":0.001}}
B2_cap_s16|{"pipeline":"cpp_grpc_cuda_shm","mode":"file","model":"yolov8s","streams":16,"frames":11137,"detections":20888,"fps":1113.70,"lat_ms_p50":13.556,"lat_ms_p95":15.660,"lat_ms_p99":15.895,"stages_ms":{"grpc_infer":12.819,"post_compact":1.212,"nms_cpu":0.001}}
B2_cap_s16|{"pipeline":"cpp_grpc_cuda_shm","mode":"file","model":"yolov8s","streams":16,"frames":11142,"detections":20898,"fps":1114.20,"lat_ms_p50":13.544,"lat_ms_p95":15.686,"lat_ms_p99":15.880,"stages_ms":{"grpc_infer":12.812,"post_compact":1.212,"nms_cpu":0.000}}
C2_cap_s16|{"pipeline": "python_numpy", "mode": "file", "transfer": "sys", "streams": 16, "processes": 16, "frames": 10493, "detections": 19674, "fps": 1049.3, "per_stream_fps": [65.6, 65.6, 65.5, 65.5, 65.6, 65.6, 65.5, 65.5, 65.5, 65.5, 65.5, 65.5, 65.5, 65.5, 65.5, 65.5], "lat_ms_p50": 14.37, "lat_ms_p95": 15.38, "stages_ms": {"decode_pipe": 0.0, "preprocess_np": 0.0, "infer_grpc": 14.37}}
C2_cap_s16|{"pipeline": "python_numpy", "mode": "file", "transfer": "sys", "streams": 16, "processes": 16, "frames": 10178, "detections": 19092, "fps": 1017.8, "per_stream_fps": [63.7, 63.5, 63.5, 63.6, 63.6, 63.6, 63.5, 63.6, 63.6, 63.6, 63.5, 63.5, 63.4, 63.5, 63.8, 63.8], "lat_ms_p50": 14.85, "lat_ms_p95": 15.83, "stages_ms": {"decode_pipe": 0.0, "preprocess_np": 0.0, "infer_grpc": 14.85}}
C2_cap_s16|{"pipeline": "python_numpy", "mode": "file", "transfer": "sys", "streams": 16, "processes": 16, "frames": 10259, "detections": 19235, "fps": 1025.9, "per_stream_fps": [64.2, 63.9, 64.0, 64.0, 64.0, 64.0, 64.0, 64.0, 64.1, 64.0, 64.0, 64.0, 64.0, 63.9, 64.2, 65.0], "lat_ms_p50": 14.72, "lat_ms_p95": 15.83, "stages_ms": {"decode_pipe": 0.0, "preprocess_np": 0.0, "infer_grpc": 14.72}}
D_cap_s16|{"pipeline":"cpp_grpc_async_dyn","model":"yolov8s_dyn","streams":16,"frames":16715,"detections":31698,"fps":1671.50,"lat_ms_p50":74.730,"lat_ms_p95":76.413,"lat_ms_p99":77.106}
D_cap_s16|{"pipeline":"cpp_grpc_async_dyn","model":"yolov8s_dyn","streams":16,"frames":16691,"detections":31759,"fps":1669.10,"lat_ms_p50":74.871,"lat_ms_p95":76.641,"lat_ms_p99":77.343}
D_cap_s16|{"pipeline":"cpp_grpc_async_dyn","model":"yolov8s_dyn","streams":16,"frames":16825,"detections":31680,"fps":1682.50,"lat_ms_p50":74.238,"lat_ms_p95":75.809,"lat_ms_p99":76.388}
A3proc_cap|{"pipeline":"cpp_trt","mode":"file","streams":1,"frames":3708,"detections":8804,"fps":370.8,"lat_ms_p50":1.77669,"lat_ms_p95":1.81224,"lat_ms_p99":1.82533} 
A3proc_cap|{"pipeline":"cpp_trt","mode":"file","streams":1,"frames":3714,"detections":8820,"fps":371.4,"lat_ms_p50":1.75024,"lat_ms_p95":1.78746,"lat_ms_p99":1.80303} 
A3proc_cap|{"pipeline":"cpp_trt","mode":"file","streams":1,"frames":3712,"detections":8816,"fps":371.2,"lat_ms_p50":1.76473,"lat_ms_p95":1.81747,"lat_ms_p99":1.83146} 
A2_rtsp|{"pipeline":"cpp_trt_cuda","mode":"rtsp","streams":1,"frames":177,"detections":263,"fps":17.7,"lat_ms_p50":1.31952,"lat_ms_p95":1.36184,"lat_ms_p99":1.41427,"stages_ms":{"decode":32,"preprocess":0.149724,"h2d":0,"infer_incl_compact":1.21222,"nms_cpu":0.000852525}}
A2_rtsp|{"pipeline":"cpp_trt_cuda","mode":"rtsp","streams":1,"frames":213,"detections":337,"fps":21.3,"lat_ms_p50":1.31865,"lat_ms_p95":1.34515,"lat_ms_p99":1.36139,"stages_ms":{"decode":31.9194,"preprocess":0.151422,"h2d":0,"infer_incl_compact":1.20147,"nms_cpu":0.000898427}}
A2_rtsp|{"pipeline":"cpp_trt_cuda","mode":"rtsp","streams":1,"frames":248,"detections":397,"fps":24.8,"lat_ms_p50":1.319,"lat_ms_p95":1.35582,"lat_ms_p99":1.37324,"stages_ms":{"decode":31.9994,"preprocess":0.150808,"h2d":0,"infer_incl_compact":1.19888,"nms_cpu":0.00091573}}
B2_rtsp|{"pipeline":"cpp_grpc_cuda_shm","mode":"rtsp","model":"yolov8s","streams":1,"frames":282,"detections":449,"fps":28.20,"lat_ms_p50":1.889,"lat_ms_p95":2.052,"lat_ms_p99":2.154,"stages_ms":{"grpc_infer":1.729,"post_compact":0.118,"nms_cpu":0.001}}
B2_rtsp|{"pipeline":"cpp_grpc_cuda_shm","mode":"rtsp","model":"yolov8s","streams":1,"frames":316,"detections":501,"fps":31.60,"lat_ms_p50":1.858,"lat_ms_p95":2.046,"lat_ms_p99":2.111,"stages_ms":{"grpc_infer":1.678,"post_compact":0.118,"nms_cpu":0.001}}
B2_rtsp|{"pipeline":"cpp_grpc_cuda_shm","mode":"rtsp","model":"yolov8s","streams":1,"frames":300,"detections":478,"fps":30.00,"lat_ms_p50":1.896,"lat_ms_p95":2.061,"lat_ms_p99":2.106,"stages_ms":{"grpc_infer":1.724,"post_compact":0.119,"nms_cpu":0.001}}
C2_rtsp|{"pipeline": "python_numpy", "mode": "rtsp", "transfer": "raw", "streams": 1, "processes": 1, "frames": 53, "detections": 50, "fps": 5.3, "per_stream_fps": [5.3], "lat_ms_p50": 5.1, "lat_ms_p95": 6.59, "stages_ms": {"decode_pipe": 32.44, "preprocess_np": 1.46, "infer_grpc": 5.1}}
C2_rtsp|{"pipeline": "python_numpy", "mode": "rtsp", "transfer": "raw", "streams": 1, "processes": 1, "frames": 58, "detections": 63, "fps": 5.8, "per_stream_fps": [5.8], "lat_ms_p50": 4.74, "lat_ms_p95": 6.04, "stages_ms": {"decode_pipe": 32.76, "preprocess_np": 1.34, "infer_grpc": 4.74}}
C2_rtsp|{"pipeline": "python_numpy", "mode": "rtsp", "transfer": "raw", "streams": 1, "processes": 1, "frames": 64, "detections": 71, "fps": 6.4, "per_stream_fps": [6.4], "lat_ms_p50": 5.23, "lat_ms_p95": 6.44, "stages_ms": {"decode_pipe": 32.96, "preprocess_np": 1.31, "infer_grpc": 5.23}}
C2_rtsp3|{"pipeline": "python_numpy", "mode": "rtsp", "transfer": "raw", "streams": 3, "processes": 1, "frames": 214, "detections": 252, "fps": 21.4, "per_stream_fps": [6.8, 7.7, 6.9], "lat_ms_p50": 5.61, "lat_ms_p95": 6.91, "stages_ms": {"decode_pipe": 33.21, "preprocess_np": 1.33, "infer_grpc": 5.61}}
C2_rtsp3|{"pipeline": "python_numpy", "mode": "rtsp", "transfer": "raw", "streams": 3, "processes": 1, "frames": 238, "detections": 267, "fps": 23.8, "per_stream_fps": [7.6, 8.5, 7.7], "lat_ms_p50": 6.41, "lat_ms_p95": 7.75, "stages_ms": {"decode_pipe": 33.44, "preprocess_np": 1.61, "infer_grpc": 6.41}}
C2_rtsp3|{"pipeline": "python_numpy", "mode": "rtsp", "transfer": "raw", "streams": 3, "processes": 1, "frames": 259, "detections": 281, "fps": 25.9, "per_stream_fps": [8.3, 9.2, 8.4], "lat_ms_p50": 4.77, "lat_ms_p95": 5.06, "stages_ms": {"decode_pipe": 33.31, "preprocess_np": 1.21, "infer_grpc": 4.77}}
A3proc_rtsp|{"pipeline":"cpp_trt","mode":"rtsp","streams":1,"frames":131,"detections":137,"fps":13.1,"lat_ms_p50":1.3589,"lat_ms_p95":2.13725,"lat_ms_p99":2.89284} 
A3proc_rtsp|{"pipeline":"cpp_trt","mode":"rtsp","streams":1,"frames":180,"detections":178,"fps":18,"lat_ms_p50":1.656,"lat_ms_p95":2.17002,"lat_ms_p99":3.25624} 
A3proc_rtsp|{"pipeline":"cpp_trt","mode":"rtsp","streams":1,"frames":229,"detections":236,"fps":22.9,"lat_ms_p50":1.36011,"lat_ms_p95":2.16764,"lat_ms_p99":2.58329} 
